Date,Coordinates 
0,128
1873,1
1900,1
1904,9
1905,11
1906,8
1907,3
1908,1
1910,2
1912,7
1913,3
1919,1
1922,1
1923,2
1927,7
1928,1
1929,42
1930,6
1931,15
1932,44
1933,12
1934,1
1935,15
1936,26
1937,15
1940,4
1941,12
1942,16
1943,9
1944,2
1945,8
1946,7
1947,7
1948,7
1949,3
1950,1
1954,2
1955,4
1956,6
1958,2
1960,3
1961,4
1962,8
1963,5
1964,1
1965,4
1966,3
1967,5
1968,7
1969,3
1970,5
1971,124
1972,3
1973,171
1974,24
1975,41
1976,161
1977,68
1978,12
1979,1551
1980,356
1981,405
1982,1963
1983,1186
1984,3342
1985,2280
1986,2391
1987,1855
1988,577
1989,1967
1990,900
1991,1142
1992,1398
1993,897
1994,1815
1995,2853
1996,1773
1997,1062
1998,428
1999,447
2000,434
2001,875
2002,568
2003,795
2004,875
2005,2869
2006,1454
2007,1159
2008,1151
2009,1179
2010,1162
2011,198
2147483647,59558
