Date,Coordinates 
1700,0
1851,0
1852,0
1853,0
1855,0
1862,0
1863,0
1865,0
1866,0
1873,0
1901,0
1902,0
1909,0
1910,0
1913,0
1916,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1943,0
1944,0
1945,0
1946,0
1947,0
1952,0
1956,0
1957,0
1959,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,1
1971,11
1972,0
1973,0
1974,1
1975,3
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,2
1988,9
1989,0
1990,0
1991,0
1992,0
1993,10
1994,52
1995,59
1996,40
1997,28
1998,8
1999,16
2000,0
2001,1
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,8
2009,187
2010,0
2011,0
2012,4
