Date,Coordinates 
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,1
1901,0
1902,0
1903,0
1904,9
1905,10
1906,7
1907,3
1908,1
1909,0
1910,2
1911,0
1912,6
1913,3
1914,0
1915,0
1916,0
1917,0
1918,0
1919,1
1920,0
1921,0
1922,1
1923,1
1924,0
1925,0
1926,0
1927,7
1928,1
1929,41
1930,4
1931,14
1932,44
1933,11
1934,1
1935,14
1936,26
1937,15
1938,0
1939,0
1940,4
1941,12
1942,14
1943,9
1944,2
1945,8
1946,7
1947,4
1948,6
1949,3
1950,1
1951,0
1952,0
1953,0
1954,2
1955,4
1956,6
1957,0
1958,2
1959,0
1960,3
1961,4
1962,8
1963,5
1964,1
1965,4
1966,3
1967,5
1968,5
1969,3
1970,5
1971,122
1972,3
1973,61
1974,14
1975,38
1976,153
1977,64
1978,3
1979,1508
1980,303
1981,387
1982,1767
1983,1127
1984,3275
1985,2249
1986,2374
1987,1803
1988,575
1989,1900
1990,898
1991,1130
1992,1373
1993,889
1994,1812
1995,2812
1996,1594
1997,1062
1998,427
1999,446
2000,434
2001,857
2002,568
2003,794
2004,862
2005,2853
2006,1430
2007,1155
2008,1140
2009,1176
2010,1099
2011,195
2147483647,13795472
