Date,Coordinates 
1873,1
1900,1
1904,7
1905,16
1906,7
1907,2
1912,5
1913,5
1919,1
1922,1
1923,2
1927,6
1928,1
1929,60
1930,3
1931,14
1932,39
1933,76
1935,58
1936,96
1937,113
1940,19
1941,13
1942,616
1943,33
1946,11
1947,7
1948,3
1949,2
1954,148
1955,88
1956,201
1958,1
1960,21
1961,6
1962,133
1963,2
1964,41
1965,28
1966,25
1967,48
1968,48
1969,4
1970,1
1971,415
1972,68
1973,760
1974,152
1975,110
1976,721
1977,419
1978,7
1979,3705
1980,756
1981,790
1982,4934
1983,2040
1984,3653
1985,3556
1986,4139
1987,4659
1988,1241
1989,2459
1990,1362
1991,2900
1992,2565
1993,960
1994,6759
1995,5747
1996,1900
1997,617
1998,232
1999,1325
2000,743
2001,2285
2002,587
2003,880
2004,1697
2005,5862
2006,1819
2007,1882
2008,1572
2009,1350
2010,1665
2011,190
